screen_id,screen_name,image_uuid_1,image_uuid_2,image_uuid_3,image_uuid_4
b73694fc-f23f-4e2f-95b5-2a856b48526b,"CCD Vijaya Bank",,,,
0b3d262b-a805-4f71-9ed4-1b13ba1601d9,"CCD WHITEFIELD MAIN ROAD",,,,
5216c3f5-700f-4d1c-b29e-644b7dc0dbf1,"CCD Yummy Tummy",,,,
fdcf7731-7cb4-4382-ac88-0bc699e5a305,"CCD ZEN BUSINESS CENTRE PUNE",,,,
3412e1d2-49ca-4d44-b9ee-ac8d9f31f8f9,"CCD habsi guda",,,,
79a9b8f2-21cf-4c2e-8029-d2febaf25628,"Cafe Gokulam - Singasandra",,,,
e0a2bc2e-9225-49c9-9056-6f2d9e200312,"Cafe Krishnam - Jayanagar",,,,
5531eb96-55de-45a9-992d-ff0a0588dd61,"Cinema_ Box 01",,,,
6a3638f4-8f96-4027-8fee-7c9999482c48,"Coffee makers - HSR Layout",,,,
3820692d-8819-4544-ac87-2f7f3fd583b2,"Concourse ITPL - Whitefield",,,,
307bd5b5-d1a1-47bd-9d47-a21df34e5139,"Durgashree Samruddhi Grand - R. T. Nagar",,,,
5b8402e2-99d0-457a-8065-c82a81ca20a8,"Durgashree Samruddhi Grand - Sunkadakatte",,,,
e815104e-4ac9-4714-b131-12fa3fd8a90e,"Durgashree Samruddhi Grand Veg - Muthasandra",,,,
e4104fee-f8f1-4575-9944-a2f56b3cd2df,"Happy Kydz - Indiranagar",,,,
0c6ff948-b62d-4972-8c4d-4d27de72516f,"Hotel Anand Bhavan - Zoo Rd",,,,
b166de4d-ba20-40fe-babf-3ecf46c492bd,"Hotel Ayodhya Upahar - Malleshwaram",,,,
fae5b29b-bcbc-4ef5-982f-89467853079e,"Hotel Durgashree Samruddhi Garden - Pindakuru Thimmanahalli",4cac0d15-3157-4036-a6d0-ec119a947fa7,,,
14b9fc26-83ea-49e1-966d-e41620b4eb94,"Hotel Halli Nanasu - Doddaballapura",,,,
081ea1bc-6209-4bef-a26b-14f7c9d3ad8e,"Jagpreet Singh",,,,
59dc2b4b-70b5-416c-b541-78417930392b,"Kadamba Veg Restaurant - Basaveshwar Nagar",,,,
09c99b8d-ce8b-41df-a27c-e33375392a7a,"Krishna leela grand - Bagulur Main Road",,,,
16b772eb-580d-48a1-a919-9e58d9f6af71,"Maratha Darshan - Vasanth Nagar",,,,
9af561be-23a8-4e2d-962d-53f4a42e096f,"Mayura Sagar Restaurant - Brookefield",,,,
cc44bf16-8349-4fbb-894b-a9b671374177,"Minerva Screen",,,,
40de220c-ab6a-43ff-99ac-3e0fa17d319e,"Neelanjana Mahesh Prasad - Ramakrishnanagar",,,,
09db7086-8b9d-4371-bf0d-d5ad727e6f04,"New Krishna Sagar - TC Palya",,,,
701253ae-b588-411f-b472-d92aec52e122,"New Shanthi Sagar - Vijaynagar",,,,
f597559d-3934-40aa-a8f8-b2df16acc3a1,"New Udupi Grand - HSR Layout",,,,
e590a10c-f0b5-49a2-801a-354b244d3925,"OPP BOMBAY OXYGEN COMPANY Andheri -W",,,,
27ab0618-60cb-4294-b594-a5e45e77c31c,"Old Original Hotel Vinayaka Mylari - Doora",,,,
05367f4b-7f28-4592-b338-85f0967dfdc9,"Playville - Whitefield",,,,
9cfaac0a-2fce-4024-ac96-3db67b11333e,"Playville Kids Play Zone - Kempegowda Layout",,,,
f32e1e37-2107-4b41-aaa0-ee8a9546fb59,"Raithana Aramane - Dasarahalli",,,,
c27d9402-98e3-4c08-a061-978006a45059,"SLV Food Joint - HRBR Layout",,,,
9f5f20df-6784-4837-800d-e0564df7b8e9,"Sassy AF Café - HSR Layout",,,,
5b2cd378-8b0e-4b9c-8c64-72fb84c5e67e,"Sendhoor Coffee - HSR Layout",,,,
a55c44bc-869d-4bdf-b340-79aed9800d58,"Shre Sadashiva Handlooms and Gift Centers",,,,
